ta	111	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	M
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	23456
1700	M	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	23456	M	23456	1700	1	1	1700
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
M	23456	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
23456	1700	M	23456	1700	1	1	M
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
23456	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1700	1	M	23456	1700	1	1	M
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	M
23456	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
M	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
23456	1700	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
23456	a1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	M
23456	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1700	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
23456	M	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	23456	M	23456	1700	1	1	1700
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
M	23456	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
23456	1700	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	tb	M	23456	1700	1	1	M
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	112
M	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
23456	M	M	23456	1700	1	1	23456
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
M	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
23456	1700	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	M
23456	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1700	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
M	M	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	23456	M	23456	1700	1	1	1700
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	23456	M	23456	1700	1	1	1700
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	23456	M	23456	1700	1	1	a2
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
wjs	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	M
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1700
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	23456	M	23456	1700	1	1	1700
M	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
23456	1700	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	M
23456	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1700	1	M	23456	1700	1	1	1
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1
1002	M	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	23456
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	1700
1	M	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	23456	M	23456	1700	1	1	1700
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	M
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	23456
M	23456	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1700	M	23456	1700	1	1	1
1	M	M	23456	1700	1	1	23456
1700	1	M	23456	1700	1	1	1
M	M	M	23456	1700	1	1	23456
M	23456	M	23456	1700	1	1	1700
1	1	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	M
23456	1700	M	23456	1700	1	1	1
1	1	M	23456	1700	1	1	1
1700	M	M	23456	1700	1	1	23456
